id,uuid,url,room,square,city,lat,lon,description,photo,star,focus,id,date,flat_id,price
22190390,741a0b95-9fd2-445c-b9d9-80716d93258b,https://krisha.kz/a/show/22190390,3,100,Астана,51.161347,71.417215,"жил. комплекс Esil Apartments, монолитный дом, 2015 г.п., состояние: свежий ремонт, жил. площадь 53 м², кухня 12 м², потолки 3м., санузел 2 с/у и более, телефон: нет, интернет оптика, меблирована полностью, ЖК ""Esil Apartments"", дом расположен вдоль набережной реки «Есиль» Квартира выполнена…",https://krisha-photos.kcdn.online/webp/74/741a0b95-9fd2-445c-b9d9-80716d93258b/3-full.jpg,0,0,421,2024-10-10,22190390,400000
26230374,a04d9601-f6e7-46e2-b8cf-83c7903b3e09,https://krisha.kz/a/show/26230374,2,85,Астана,51.110322514013,71.4311191639,"жил. комплекс Янтарный, кирпичный дом, 2016 г.п., потолки 3м., санузел совмещенный, телефон: отдельный, интернет ADSL, меблирована полностью, Квартира расположена вблизи от арки Мәңгілік ел и выставки EXPO, очень удобное местоположение, рядом есть школа, детский сад, рестораны, магазины и апте…",https://krisha-photos.kcdn.online/webp/a0/a04d9601-f6e7-46e2-b8cf-83c7903b3e09/33-full.jpg,0,0,222,2024-10-10,26230374,380000
26988684,a7e02d30-6aea-4fdf-8ec3-f6cab20caea9,https://krisha.kz/a/show/26988684,2,62,Астана,51.162178,71.435199,"жил. комплекс Айя, кирпичный дом, 2006 г.п., жил. площадь 52 м², кухня 12 м², потолки 3м., санузел совмещенный, интернет ADSL, меблирована полностью, Жк Айя, 2 лоджии, потолки 3 м, , 5 спальных мест, только после ремонта, чистая, пересечение Иманова Иманбаева, рядом школы и дет. сады, торговые до…",https://krisha-photos.kcdn.online/webp/a7/a7e02d30-6aea-4fdf-8ec3-f6cab20caea9/23-full.jpg,0,0,80,2024-10-10,26988684,250000
27652365,2038a730-c28c-4931-8834-8bff0298a345,https://krisha.kz/a/show/27652365,4,134,Астана,51.161342,71.417179,"жил. комплекс Esil Apartments, монолитный дом, 2015 г.п., состояние: свежий ремонт, санузел 2 с/у и более, телефон: отдельный, интернет оптика, меблирована полностью, Дом расположен на набережной реки ""Есиль"". Ремонт выполнен в классическом стиле. Без животных! + Страховой возвратный депозит…",https://krisha-photos.kcdn.online/webp/20/2038a730-c28c-4931-8834-8bff0298a345/9-full.jpg,0,0,420,2024-10-10,27652365,500000
30417159,98668b76-6091-4742-90bc-08960b319443,https://krisha.kz/a/show/30417159,1,43,Астана,51.130801,71.387912,"жил. комплекс GreenLine.Зеленый квартал, монолитный дом, 2017 г.п., потолки 3м., санузел совмещенный, телефон: есть возможность подключения, интернет ADSL, меблирована полностью, Район : ЖК Зеленый квартал – жилье бизнес класса, расположенный на левобережье Астаны. Во дворах расположены гос…",https://krisha-photos.kcdn.online/webp/98/98668b76-6091-4742-90bc-08960b319443/16-full.jpg,0,0,765,2024-10-10,30417159,300000
30650141,1e04f63f-b5a8-4f3a-813d-4ec0259ac648,https://krisha.kz/a/show/30650141,3,100,Астана,51.137606,71.415293,"жил. комплекс Триумфальный, кирпичный дом, 2016 г.п., жил. площадь 52 м², кухня 14 м², потолки 3.1м., санузел 2 с/у и более, телефон: отдельный, интернет ADSL, меблирована полностью, Сдам в аренду на длительный срок. Рассмотрим продажу за 70 млн тенге. ЖК Триумфальный, 3-х комн, элиткласс, охра…",https://krisha-photos.kcdn.online/webp/1e/1e04f63f-b5a8-4f3a-813d-4ec0259ac648/5-full.jpg,0,0,798,2024-10-10,30650141,650000
47919402,426b0a4d-dc96-4d87-a2a9-49bd0f79ca0a,https://krisha.kz/a/show/47919402,3,90,Астана,51.133249,71.461448,"жил. комплекс Ак Шанырак, монолитный дом, 2017 г.п., жил. площадь 58 м², кухня 12 м², потолки 3м., санузел 2 с/у и более, телефон: отдельный, интернет ADSL, меблирована полностью, Хорошее месторасположение, рядом школа, Дворец школьников, магазины, остановка, парковая зона, комфортная уютная кварти…",https://krisha-photos.kcdn.online/webp/42/426b0a4d-dc96-4d87-a2a9-49bd0f79ca0a/21-full.jpg,0,0,318,2024-10-10,47919402,300000
51263848,b2bcccb6-1e2e-4131-861a-03456b393214,https://krisha.kz/a/show/51263848,1,35,Астана,51.101764,71.468689,"жил. комплекс Времена года. Осень, кирпичный дом, 2015 г.п., жил. площадь 20 м², кухня 9 м², потолки 2.7м., санузел совмещенный, телефон: отдельный, интернет ADSL, меблирована полностью, Сдам 1 ком времена года осень ранее квартира не сдавалась все новое мебель и техника. Коммунальные плюс примерно…",https://krisha-photos.kcdn.online/webp/b2/b2bcccb6-1e2e-4131-861a-03456b393214/1-full.jpg,0,0,109,2024-10-10,51263848,200000
56601982,510ef074-3756-47e1-a381-0cdbd6a4d571,https://krisha.kz/a/show/56601982,4,134,Астана,51.161356954058,71.417282149129,"жил. комплекс Esil Apartments, монолитный дом, 2015 г.п., состояние: свежий ремонт, потолки 3м., санузел 2 с/у и более, телефон: отдельный, интернет ADSL, меблирована полностью, Дом расположен на набережной реки ""Есиль"". Ремонт выполнен в классическом стиле. + ВОЗВРАТНЫЙ страховой депозит обязател…",https://krisha-photos.kcdn.online/webp/51/510ef074-3756-47e1-a381-0cdbd6a4d571/19-full.jpg,0,0,378,2024-10-10,56601982,500000
56875046,a3132ac1-e0e3-41a0-b275-18e315e6caf8,https://krisha.kz/a/show/56875046,2,46,Астана,51.117799484985,71.413525030934,"монолитный дом, 2020 г.п., жил. площадь 38 м², потолки 2.8м., санузел совмещенный, телефон: отдельный, интернет ADSL, меблирована полностью, Сдается квартира с евроремонтом по выгодной цене на длительный период. Удобное месторасположение, хорошая инфраструктура, рядом расположены: школы, садики, Т…",https://krisha-photos.kcdn.online/webp/a3/a3132ac1-e0e3-41a0-b275-18e315e6caf8/1-full.jpg,0,0,238,2024-10-10,56875046,210000
